"Region"	"Species"
"SUM"	"Actinorhytis calapparia, Areca catechu, Areca montana, Areca triandra, Areca triginticollina, Areca tunku, Arenga brevipes, Arenga hastata, Arenga longipes, Arenga obtusifolia, Arenga plicata, Arenga porphyrocarpa, Arenga talamauensis, Calamus acehensis, Calamus asperrimus, Calamus axillaris, Calamus billitonensis, Calamus binnendijkii, Calamus brachypodus, Calamus caesius, Calamus calicarpus, Calamus castaneus, Calamus ciliaris, Calamus concolor, Calamus confusus, Calamus conirostris, Calamus crinitus, Calamus densiflorus, Calamus depressiusculus, Calamus didymophyllus, Calamus diepenhorstii, Calamus draco, Calamus dracunculus, Calamus erinaceus, Calamus erioacanthus, Calamus exilis, Calamus flabellatus, Calamus forbesii, Calamus geniculatus, Calamus gracilipes, Calamus griseus, Calamus hallierianus, Calamus heteroideus, Calamus hirsutus, Calamus horridus, Calamus insignis, Calamus javensis, Calamus johndransfieldii, Calamus karuensis, Calamus lewisianus, Calamus lobbianus, Calamus longipes, Calamus longispinosus, Calamus manan, Calamus marginatus, Calamus megalocarpus, Calamus melanochaetes, Calamus micranthus, Calamus mogeae, Calamus ornatus, Calamus oxleyanus, Calamus palembanicus, Calamus pandanosmus, Calamus parvifructus, Calamus paspalanthus, Calamus periacanthus, Calamus plagiocyclus, Calamus plicatus, Calamus polystachys, Calamus pseudoconcolor, Calamus rhomboideus, Calamus rugosus, Calamus scabridulus, Calamus scapigerus, Calamus scipionum, Calamus sedens, Calamus sekundurensis, Calamus siberutensis, Calamus singalanus, Calamus spectatissimus, Calamus stenophyllus, Calamus subangulatus, Calamus tenuis, Calamus trichrous, Calamus tumidus, Calamus unifarius, Calamus uschdraweitianus, Calamus verticillaris, Caryota maxima, Caryota mitis, Cocos nucifera, Corypha utan, Cyrtostachys renda, Elaeis guineensis, Eleiodoxa conferta, Iguanura leucocarpa, Iguanura wallichiana, Johannesteijsmannia altifrons, Korthalsia debilis, Korthalsia echinometra, Korthalsia flagellaris, Korthalsia hispida, Korthalsia laciniosa, Korthalsia paucijuga, Korthalsia rigida, Korthalsia robusta, Korthalsia rostrata, Licuala elegans, Licuala ferruginoides, Licuala longipes, Licuala nana, Licuala paludosa, Licuala spinosa, Licuala triphylla, Metroxylon sagu, Myrialepis paradoxa, Nenga gajah, Nenga pumila, Nypa fruticans, Oncosperma horridum, Oncosperma tigillarium, Orania sylvicola, Phoenix paludosa, Pholidocarpus macrocarpus, Pholidocarpus mucronatus, Pholidocarpus sumatranus, Pinanga coronata, Pinanga densiflora, Pinanga disticha, Pinanga forbesii, Pinanga glauca, Pinanga grandijuga, Pinanga grandis, Pinanga latisecta, Pinanga macrospadix, Pinanga malaiana, Pinanga megalocarpa, Pinanga micholitzii, Pinanga pachycarpa, Pinanga parvula, Pinanga patula, Pinanga porrecta, Pinanga pulchella, Pinanga purpurea, Pinanga riparia, Pinanga simplicifrons, Pinanga stylosa, Pinanga subintegra, Pinanga uncinata, Plectocomia billitonensis, Plectocomia elongata, Plectocomia lorzingii, Plectocomiopsis corneri, Plectocomiopsis geminiflora, Plectocomiopsis mira, Rhapis subtilis, Salacca acehensis, Salacca affinis, Salacca sumatrana, Salacca wallichiana, Salacca zalacca"
"SUR"	"Acrocomia aculeata, Astrocaryum aculeatum, Astrocaryum farinosum, Astrocaryum jauari, Astrocaryum murumuru, Astrocaryum paramaca, Astrocaryum rodriguesii, Astrocaryum sciophilum, Astrocaryum tucuma, Astrocaryum vulgare, Attalea attaleoides, Attalea dahlgreniana, Attalea maripa, Attalea microcarpa, Attalea speciosa, Bactris acanthocarpa, Bactris acanthocarpoides, Bactris aubletiana, Bactris brongniartii, Bactris campestris, Bactris constanciae, Bactris cuspidata, Bactris elegans, Bactris gastoniana, Bactris hirta, Bactris major, Bactris maraja, Bactris oligocarpa, Bactris pliniana, Bactris rhaphidacantha, Bactris setulosa, Bactris simplicifrons, Bactris turbinocarpa, Desmoncus horridus, Desmoncus parvulus, Desmoncus polyacanthos, Elaeis oleifera, Euterpe oleracea, Euterpe precatoria, Geonoma baculifera, Geonoma deversa, Geonoma euspatha, Geonoma leptospadix, Geonoma maxima, Geonoma poiteauana, Geonoma stricta, Geonoma undata, Hyospathe elegans, Manicaria saccifera, Mauritia flexuosa, Mauritiella armata, Oenocarpus bacaba, Oenocarpus bataua, Socratea exorrhiza, Syagrus inajai, Syagrus stratincola"
"SVA"	"NA"
"SWC"	"Acoelorrhaphe wrightii, Coccothrinax argentata, Cocos nucifera"
"SWE"	"NA"
"SWI"	"Trachycarpus fortunei"
"SWZ"	"Phoenix reclinata"
"TAI"	"Areca catechu, Arenga engleri, Calamus batanensis, Calamus beccarii, Calamus formosanus, Calamus jenkinsianus, Calamus siphonospathus, Cocos nucifera, Livistona chinensis, Phoenix loureiroi, Pinanga tashiroi"
"TAN"	"Borassus aethiopum, Cocos nucifera, Dypsis pembana, Elaeis guineensis, Eremospatha haullevilleana, Hyphaene compressa, Hyphaene coriacea, Hyphaene petersiana, Phoenix reclinata, Raphia farinifera"
"TAS"	"NA"
"TCI"	"Coccothrinax argentata, Coccothrinax inaguensis, Leucothrinax morrisii, Pseudophoenix sargentii, Sabal palmetto"
"TCS"	"NA"
"TDC"	"NA"
"TEN"	"NA"
"TEX"	"Sabal mexicana, Sabal minor"
"THA"	"Actinorhytis calapparia, Areca catechu, Areca laosensis, Areca montana, Areca triandra, Areca tunku, Arenga caudata, Arenga hastata, Arenga hookeriana, Arenga obtusifolia, Arenga pinnata, Arenga westerhoutii, Borassodendron machadonis, Borassus flabellifer, Calamus acanthophyllus, Calamus acanthospathus, Calamus angustifolius, Calamus arborescens, Calamus axillaris, Calamus balingensis, Calamus bousigonii, Calamus burkillianus, Calamus caesius, Calamus castaneus, Calamus concinnus, Calamus densiflorus, Calamus didymophyllus, Calamus diepenhorstii, Calamus draco, Calamus erectus, Calamus erinaceus, Calamus exilis, Calamus flagellum, Calamus geniculatus, Calamus godefroyi, Calamus grandis, Calamus griseus, Calamus helferianus, Calamus henryanus, Calamus inermis, Calamus insignis, Calamus javensis, Calamus jenkinsianus, Calamus kunstleri, Calamus kurzianus, Calamus latifolius, Calamus leptopus, Calamus lewisianus, Calamus longisetus, Calamus macrophyllus, Calamus manan, Calamus melanochaetes, Calamus micranthus, Calamus monticola, Calamus myrianthus, Calamus nitidus, Calamus oligostachys, Calamus ornatus, Calamus pandanosmus, Calamus peregrinus, Calamus platyspathus, Calamus plicatus, Calamus poilanei, Calamus radulosus, Calamus rhomboideus, Calamus rudentum, Calamus sabut, Calamus scipionum, Calamus sedens, Calamus sepal, Calamus simplex, Calamus spectatissimus, Calamus subangulatus, Calamus temii, Calamus tenuis, Calamus tetradactylus, Calamus verticillaris, Calamus viminalis, Caryota kiriwongensis, Caryota maxima, Caryota mitis, Caryota obtusa, Cocos nucifera, Corypha lecomtei, Corypha umbraculifera, Corypha utan, Cyrtostachys renda, Eleiodoxa conferta, Eugeissona tristis, Iguanura bicornis, Iguanura divergens, Iguanura geonomiformis, Iguanura polymorpha, Iguanura speciosa, Iguanura tenuis, Iguanura thalangensis, Iguanura wallichiana, Johannesteijsmannia altifrons, Kerriodoxa elegans, Korthalsia flagellaris, Korthalsia laciniosa, Korthalsia rigida, Korthalsia rostrata, Korthalsia scortechinii, Licuala distans, Licuala glabra, Licuala kunstleri, Licuala malajana, Licuala merguensis, Licuala modesta, Licuala paludosa, Licuala peltata, Licuala pitta, Licuala poonsakii, Licuala pusilla, Licuala scortechinii, Licuala spinosa, Licuala triphylla, Livistona jenkinsiana, Livistona saribus, Livistona speciosa, Maxburretia furtadoana, Maxburretia gracilis, Metroxylon sagu, Myrialepis paradoxa, Nenga macrocarpa, Nenga pumila, Nypa fruticans, Oncosperma horridum, Oncosperma tigillarium, Orania sylvicola, Phoenix loureiroi, Phoenix paludosa, Phoenix roebelenii, Pholidocarpus macrocarpus, Pinanga adangensis, Pinanga auriculata, Pinanga badia, Pinanga disticha, Pinanga fractiflexa, Pinanga glaucescens, Pinanga malaiana, Pinanga paradoxa, Pinanga perakensis, Pinanga polymorpha, Pinanga riparia, Pinanga scortechinii, Pinanga simplicifrons, Pinanga subintegra, Pinanga sylvestris, Pinanga watanaiana, Plectocomia elongata, Plectocomia himalayana, Plectocomia pierreana, Plectocomiopsis geminiflora, Plectocomiopsis wrayi, Rhapis excelsa, Rhapis laosensis, Rhapis subtilis, Salacca glabrescens, Salacca griffithii, Salacca stolonifera, Salacca wallichiana, Trachycarpus oreophilus, Wallichia caryotoides, Wallichia disticha, Wallichia marianneae"
"TKM"	"NA"
"TOG"	"Borassus aethiopum, Cocos nucifera, Elaeis guineensis, Hyphaene thebaica, Laccosperma secundiflorum, Phoenix reclinata, Raphia farinifera, Raphia hookeri, Raphia sudanica, Raphia vinifera"
"TOK"	"Cocos nucifera, Pritchardia pacifica"
"TON"	"Cocos nucifera, Pritchardia pacifica, Pritchardia thurstonii, Veitchia joannis"
"TRT"	"Acrocomia aculeata, Adonidia merrillii, Aiphanes horrida, Aiphanes minima, Archontophoenix alexandrae, Archontophoenix cunninghamiana, Areca catechu, Areca triandra, Arenga pinnata, Arenga wightii, Astrocaryum tucuma, Attalea cohune, Attalea maripa, Attalea osmantha, Bactris campestris, Bactris gasipaes, Bactris major, Bactris setulosa, Bactris simplicifrons, Borassus aethiopum, Calamus mitis, Calamus rotang, Caryota mitis, Caryota urens, Coccothrinax barbadensis, Cocos nucifera, Copernicia prunifera, Corypha umbraculifera, Corypha utan, Cryosophila nana, Cyrtostachys renda, Deckenia nobilis, Desmoncus horridus, Desmoncus polyacanthos, Dictyosperma album, Dypsis lutescens, Elaeis guineensis, Euterpe broadwayi, Euterpe oleracea, Euterpe precatoria, Geonoma pinnatifrons, Hyophorbe verschaffeltii, Latania loddigesii, Latania lontaroides, Leucothrinax morrisii, Licuala grandis, Licuala spinosa, Livistona chinensis, Manicaria saccifera, Mauritia flexuosa, Nypa fruticans, Oenocarpus bataua, Phoenix acaulis, Phoenix dactylifera, Phoenix reclinata, Phoenix roebelenii, Phoenix rupicola, Phytelephas macrocarpa, Pinanga coronata, Prestoea acuminata, Prestoea pubigera, Pritchardia pacifica, Pritchardia thurstonii, Ptychosperma macarthurii, Raphia farinifera, Rhapis excelsa, Rhopaloblaste augusta, Roystonea oleracea, Roystonea regia, Sabal bermudana, Sabal mauritiiformis, Sabal minor, Sabal palmetto, Saribus rotundifolius, Syagrus amara, Syagrus romanzoffiana, Syagrus sancona, Thrinax radiata, Verschaffeltia splendida, Wallichia nana"
"TUA"	"Cocos nucifera, Pritchardia mitiaroana, Pritchardia vuylstekeana"
"TUB"	"Cocos nucifera"
"TUE"	"NA"
"TUN"	"Chamaerops humilis, Phoenix canariensis, Phoenix dactylifera"
"TUR"	"Phoenix dactylifera, Phoenix theophrasti"
"TUV"	"Cocos nucifera"
"TVA"	"NA"
"TVL"	"Borassus aethiopum, Hyphaene coriacea, Hyphaene petersiana, Phoenix reclinata"
"TZK"	"NA"
"UGA"	"Borassus aethiopum, Calamus deerratus, Elaeis guineensis, Eremospatha haullevilleana, Phoenix reclinata, Raphia farinifera"
"UKR"	"NA"
"URU"	"Butia lallemantii, Butia odorata, Butia yatay, Syagrus romanzoffiana, Trithrinax brasiliensis, Trithrinax campestris"
"UTA"	"NA"
"UZB"	"NA"
"VAN"	"Areca catechu, Calamus vitiensis, Carpoxylon macrospermum, Caryota ophiopellis, Clinostigma harlandii, Cocos nucifera, Cyphosperma voutmelense, Heterospathe uniformis, Hydriastele cylindrocarpa, Licuala cabalionii, Licuala grandis, Metroxylon salomonense, Metroxylon warburgii, Neoveitchia brunnea, Pelagodoxa henryana, Physokentia tete, Pritchardia pacifica, Veitchia arecina, Veitchia metiti, Veitchia spiralis, Veitchia winin"
"VEN"	"Acrocomia aculeata, Aiphanes horrida, Aiphanes lindeniana, Asterogyne ramosa, Asterogyne spicata, Asterogyne yaracuyense, Astrocaryum acaule, Astrocaryum aculeatum, Astrocaryum chambira, Astrocaryum jauari, Astrocaryum murumuru, Astrocaryum tucuma, Attalea butyracea, Attalea luetzelburgii, Attalea macrolepis, Attalea maracaibensis, Attalea maripa, Attalea microcarpa, Attalea osmantha, Attalea racemosa, Attalea wesselsboeri, Bactris acanthocarpa, Bactris balanophora, Bactris bidentula, Bactris brongniartii, Bactris campestris, Bactris corossilla, Bactris gasipaes, Bactris guineensis, Bactris hirta, Bactris major, Bactris maraja, Bactris oligoclada, Bactris pilosa, Bactris ptariana, Bactris setulosa, Bactris simplicifrons, Ceroxylon alpinum, Ceroxylon ceriferum, Ceroxylon parvifrons, Ceroxylon vogelianum, Chamaedorea linearis, Chamaedorea pinnatifrons, Coccothrinax barbadensis, Cocos nucifera, Copernicia berteroana, Copernicia tectorum, Desmoncus horridus, Desmoncus myriacanthos, Desmoncus parvulus, Desmoncus polyacanthos, Dictyocaryum fuscum, Dictyocaryum lamarckianum, Dictyocaryum ptarianum, Euterpe catinga, Euterpe longibracteata, Euterpe oleracea, Euterpe precatoria, Geonoma baculifera, Geonoma braunii, Geonoma brongniartii, Geonoma cuneata, Geonoma deversa, Geonoma euspatha, Geonoma interrupta, Geonoma lehmannii, Geonoma leptospadix, Geonoma macrostachys, Geonoma maxima, Geonoma oligoclona, Geonoma operculata, Geonoma orbignyana, Geonoma pinnatifrons, Geonoma poiteauana, Geonoma simplicifrons, Geonoma spinescens, Geonoma stricta, Geonoma undata, Hyospathe elegans, Hyospathe pittieri, Iriartea deltoidea, Iriartella setigera, Leopoldinia piassaba, Leopoldinia pulchra, Lepidocaryum tenue, Manicaria saccifera, Mauritia carana, Mauritia flexuosa, Mauritiella aculeata, Mauritiella armata, Mauritiella pumila, Oenocarpus bacaba, Oenocarpus balickii, Oenocarpus bataua, Oenocarpus mapora, Prestoea acuminata, Prestoea carderi, Prestoea longepetiolata, Prestoea pubigera, Prestoea tenuiramosa, Roystonea oleracea, Sabal mauritiiformis, Socratea exorrhiza, Socratea karstenii, Syagrus orinocensis, Syagrus sancona, Syagrus stenopetala, Wettinia praemorsa"
"VER"	"NA"
"VIC"	"Livistona australis, Phoenix canariensis"
"VIE"	"Areca catechu, Areca laosensis, Areca songthanhensis, Areca triandra, Arenga caudata, Arenga westerhoutii, Borassus flabellifer, Calamus acanthospathus, Calamus acaulis, Calamus albidus, Calamus bachmaensis, Calamus bousigonii, Calamus brevicaulis, Calamus centralis, Calamus ceratophorus, Calamus dianbaiensis, Calamus dioicus, Calamus dongnaiensis, Calamus eugenei, Calamus fissilis, Calamus flagellum, Calamus gracilis, Calamus henryanus, Calamus inermis, Calamus jenkinsianus, Calamus kontumensis, Calamus lateralis, Calamus latifolius, Calamus modestus, Calamus mollispinus, Calamus nuichuaensis, Calamus ocreatus, Calamus parvulus, Calamus poilanei, Calamus quangngaiensis, Calamus rhabdocladus, Calamus rudentum, Calamus salicifolius, Calamus seriatus, Calamus spiralis, Calamus tenuis, Calamus tetradactylus, Calamus viminalis, Calamus walkeri, Calamus yentuensis, Caryota maxima, Caryota mitis, Caryota monostachya, Caryota sympetala, Chuniophoenix nana, Cocos nucifera, Corypha lecomtei, Corypha utan, Guihaia argyrata, Guihaia grossifibrosa, Korthalsia laciniosa, Korthalsia minor, Lanonia acaulis, Lanonia calciphila, Lanonia centralis, Lanonia dasyantha, Lanonia hexasepala, Lanonia magalonii, Licuala atroviridis, Licuala averyanovii, Licuala bachmaensis, Licuala bidoupensis, Licuala bracteata, Licuala cattienensis, Licuala dakrongensis, Licuala ellipsoidalis, Licuala glaberrima, Licuala longiflora, Licuala manglaensis, Licuala paludosa, Licuala radula, Licuala robinsoniana, Licuala spinosa, Licuala taynguyensis, Livistona halongensis, Livistona saribus, Livistona speciosa, Myrialepis paradoxa, Nenga banaensis, Nypa fruticans, Oncosperma tigillarium, Phoenix loureiroi, Phoenix paludosa, Phoenix roebelenii, Pinanga annamensis, Pinanga baviensis, Pinanga cattienensis, Pinanga cupularis, Pinanga declinata, Pinanga humilis, Pinanga kontumensis, Pinanga nuichuensis, Pinanga quadrijuga, Pinanga sylvestris, Plectocomia elongata, Plectocomia pierreana, Plectocomiopsis geminiflora, Plectocomiopsis songthanhensis, Rhapis excelsa, Rhapis kebangensis, Rhapis laosensis, Rhapis micrantha, Rhapis puhuongensis, Rhapis robusta, Rhapis vidalii, Salacca wallichiana, Trachycarpus geminisectus, Wallichia gracilis"
"VNA"	"Acrocomia aculeata, Bactris setulosa, Coccothrinax barbadensis, Cocos nucifera, Dypsis lutescens, Euterpe precatoria, Geonoma pinnatifrons, Ptychosperma macarthurii, Roystonea oleracea"
"VRG"	"NA"
"WAK"	"NA"
"WAL"	"Cocos nucifera, Metroxylon vitiense"
"WAS"	"NA"
"WAU"	"Livistona alfredii, Livistona eastonii, Livistona lorophylla, Livistona nasmophila, Livistona victoriae, Phoenix canariensis, Phoenix dactylifera"
"WDC"	"NA"
"WHM"	"Calamus tenuis, Phoenix acaulis, Phoenix loureiroi, Phoenix sylvestris, Trachycarpus takil, Wallichia oblongifolia"
"WIN"	"Acrocomia aculeata, Adonidia merrillii, Aiphanes minima, Coccothrinax barbadensis, Cocos nucifera, Desmoncus polyacanthos, Euterpe broadwayi, Geonoma pinnatifrons, Geonoma undata, Prestoea acuminata, Pseudophoenix sargentii, Ptychosperma macarthurii, Roystonea oleracea, Syagrus amara"
"WIS"	"NA"
"WSA"	"Phoenix dactylifera"
"WSB"	"NA"
"WVA"	"NA"
"WYO"	"NA"
"XMS"	"Arenga listeri, Cocos nucifera"
"YAK"	"NA"
"YEM"	"Hyphaene reptans, Hyphaene thebaica, Livistona carinensis, Nannorrhops ritchieana, Phoenix caespitosa, Phoenix reclinata"
"YUG"	"NA"
"YUK"	"NA"
"ZAI"	"Borassus aethiopum, Borassus akeassii, Calamus deerratus, Cocos nucifera, Elaeis guineensis, Eremospatha cabrae, Eremospatha cuspidata, Eremospatha haullevilleana, Eremospatha laurentii, Eremospatha macrocarpa, Eremospatha wendlandiana, Hyphaene guineensis, Hyphaene petersiana, Laccosperma acutiflorum, Laccosperma laeve, Laccosperma opacum, Laccosperma robustum, Laccosperma secundiflorum, Oncocalamus macrospathus, Phoenix reclinata, Podococcus barteri, Raphia gentiliana, Raphia hookeri, Raphia laurentii, Raphia longiflora, Raphia matombe, Raphia monbuttorum, Raphia regalis, Raphia rostrata, Raphia ruwenzorica, Raphia sese, Raphia textilis, Raphia vinifera, Sclerosperma mannii, Sclerosperma profizianum, Sclerosperma walkeri"
"ZAM"	"Borassus aethiopum, Calamus deerratus, Eremospatha cuspidata, Hyphaene petersiana, Phoenix reclinata, Raphia farinifera"
"ZIM"	"Borassus aethiopum, Hyphaene petersiana, Phoenix reclinata, Raphia farinifera"
